PRRC2A	PRRC2A	Gene Expression
AIF1	AIF1	Gene Expression
UQCRHP1	UQCRHP1	Gene Expression
NCR3	NCR3	Gene Expression
LST1	LST1	Gene Expression
LTB	LTB	Gene Expression
TNF	TNF	Gene Expression
LTA	LTA	Gene Expression
LOC100287329	LOC100287329	Gene Expression
NFKBIL1	NFKBIL1	Gene Expression
ATP6V1G2	ATP6V1G2	Gene Expression
DDX39B-AS1	DDX39B-AS1	Gene Expression
SNORD84	SNORD84	Gene Expression
SNORD117	SNORD117	Gene Expression
DDX39B	DDX39B	Gene Expression
ATP6V1G2-DDX39B	ATP6V1G2-DDX39B	Gene Expression
MCCD1	MCCD1	Gene Expression
RPL15P4	RPL15P4	Gene Expression
PPIAP9	PPIAP9	Gene Expression
MICB	MICB	Gene Expression
MICB-DT	MICB-DT	Gene Expression
HCG26	HCG26	Gene Expression
HCP5	HCP5	Gene Expression
HLA-X	HLA-X	Gene Expression
LINC01149	LINC01149	Gene Expression
MICA	MICA	Gene Expression
MICA-AS1	MICA-AS1	Gene Expression
LOC105379664	LOC105379664	Gene Expression
MIR6891	MIR6891	Gene Expression
HLA-B	HLA-B	Gene Expression
LINC02571	LINC02571	Gene Expression
RPL3P2	RPL3P2	Gene Expression
USP8P1	USP8P1	Gene Expression
HLA-C	HLA-C	Gene Expression
HCG27	HCG27	Gene Expression
PSORS1C3	PSORS1C3	Gene Expression
POU5F1	POU5F1	Gene Expression
TCF19	TCF19	Gene Expression
RNU6-1133P	RNU6-1133P	Gene Expression
HCG22	HCG22	Gene Expression
MUC22	MUC22	Gene Expression
LINC00243	LINC00243	Gene Expression
HCG20	HCG20	Gene Expression
RN7SL353P	RN7SL353P	Gene Expression
IER3	IER3	Gene Expression
IER3-AS1	IER3-AS1	Gene Expression
FLOT1	FLOT1	Gene Expression
TUBB	TUBB	Gene Expression
MDC1-AS1	MDC1-AS1	Gene Expression
MDC1	MDC1	Gene Expression
LOC107987457	LOC107987457	Gene Expression
DHX16	DHX16	Gene Expression
C6orf136	C6orf136	Gene Expression
PTMAP1	PTMAP1	Gene Expression
ATAT1	ATAT1	Gene Expression
MRPS18B	MRPS18B	Gene Expression
PPP1R10	PPP1R10	Gene Expression
MIR877	MIR877	Gene Expression
ABCF1	ABCF1	Gene Expression
ABCF1-DT	ABCF1-DT	Gene Expression
PRR3	PRR3	Gene Expression
GNL1	GNL1	Gene Expression
LINC02569	LINC02569	Gene Expression
HLA-E	HLA-E	Gene Expression
RANP1	RANP1	Gene Expression
SUCLA2P1	SUCLA2P1	Gene Expression
LOC105375012	LOC105375012	Gene Expression
MICC	MICC	Gene Expression
UBQLN1P1	UBQLN1P1	Gene Expression
HLA-N	HLA-N	Gene Expression
RPP21	RPP21	Gene Expression
TRIM39-RPP21	TRIM39-RPP21	Gene Expression
TRIM39	TRIM39	Gene Expression
HCG18	HCG18	Gene Expression
HLA-L	HLA-L	Gene Expression
HCG17	HCG17	Gene Expression
PAIP1P1	PAIP1P1	Gene Expression
TRIM26	TRIM26	Gene Expression
TRIM15	TRIM15	Gene Expression
TRIM10	TRIM10	Gene Expression
TRIM40	TRIM40	Gene Expression
TRIM31-AS1	TRIM31-AS1	Gene Expression
TRIM31	TRIM31	Gene Expression
RNF39	RNF39	Gene Expression
PPP1R11	PPP1R11	Gene Expression
POLR1H	POLR1H	Gene Expression
ETF1P1	ETF1P1	Gene Expression
HLA-J	HLA-J	Gene Expression
HCG4P3	HCG4P3	Gene Expression
ZNRD1ASP	ZNRD1ASP	Gene Expression
LOC353007	LOC353007	Gene Expression
